Domain Name, DKIM Signing Status, Final Status
dynamicpacks.net,False,Not Ok
dynamicpacksnet.onmicrosoft.com,True,Ok
ITRiskScanner.com,False,Not Ok
itriskscan.com,False,Not Ok
