Microsoft.3DBuilder:Uninstalled
Microsoft.Microsoft3DViewer:NotUnInstalled
Microsoft.AppConnector:Uninstalled
Microsoft.BingFinance:Uninstalled
Microsoft.BingNews:Uninstalled
Microsoft.BingSports:Uninstalled
Microsoft.BingTranslator:Uninstalled
Microsoft.BingWeather:Uninstalled
Microsoft.BingFoodAndDrink:Uninstalled
Microsoft.BingHealthAndFitness:Uninstalled
Microsoft.BingTravel:Uninstalled
Microsoft.MinecraftUWP:Uninstalled
Microsoft.GamingServices:Uninstalled
Microsoft.GetHelp:NotUnInstalled
Microsoft.Getstarted:NotUnInstalled
Microsoft.Messaging:Uninstalled
Microsoft.MicrosoftSolitaireCollection:NotUnInstalled
Microsoft.NetworkSpeedTest:Uninstalled
Microsoft.News:Uninstalled
Microsoft.Office.Lens:Uninstalled
Microsoft.Office.Sway:Uninstalled
Microsoft.Office.OneNote:NotUnInstalled
Microsoft.OneConnect:Uninstalled
Microsoft.People:NotUnInstalled
Microsoft.Print3D:Uninstalled
Microsoft.SkypeApp:NotUnInstalled
Microsoft.Wallet:NotUnInstalled
Microsoft.Whiteboard:Uninstalled
Microsoft.WindowsAlarms:NotUnInstalled
Microsoft.windowscommunicationsapps:NotUnInstalled
Microsoft.WindowsFeedbackHub:NotUnInstalled
Microsoft.WindowsMaps:NotUnInstalled
Microsoft.WindowsPhone:Uninstalled
Microsoft.WindowsSoundRecorder:NotUnInstalled
Microsoft.ConnectivityStore:Uninstalled
Microsoft.CommsPhone:Uninstalled
Microsoft.ScreenSketch:NotUnInstalled
Microsoft.XboxGameOverlay:NotUnInstalled
Microsoft.XboxGameCallableUI:Uninstalled
Microsoft.MixedReality.Portal:NotUnInstalled
Microsoft.ZuneMusic:NotUnInstalled
Microsoft.ZuneVideo:NotUnInstalled
Microsoft.YourPhone:Uninstalled
Microsoft.MicrosoftOfficeHub:NotUnInstalled
Microsoft.Advertising.Xaml:NotUnInstalled
Microsoft.XboxApp:NotUnInstalled
Microsoft.XboxIdentityProvider:NotUnInstalled
Microsoft.XboxSpeechToTextOverlay:NotUnInstalled
Microsoft.Xbox.TCUI:NotUnInstalled
Microsoft.windowscommunicationsapps_8wekyb3d8bbwe:Uninstalled
Microsoft.BingWeather_8wekyb3d8bbwe:Uninstalled
Microsoft.DesktopAppInstaller_8wekyb3d8bbwe:Uninstalled
Microsoft.Getstarted_8wekyb3d8bbwe:Uninstalled
Microsoft.Windows.Photos_8wekyb3d8bbwe:Uninstalled
Microsoft.WindowsCamera_8wekyb3d8bbwe:Uninstalled
Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe:Uninstalled
Microsoft.WindowsStore_8wekyb3d8bbwe:Uninstalled
Microsoft.XboxApp_8wekyb3d8bbwe:Uninstalled
Microsoft.XboxIdentityProvider_8wekyb3d8bbwe:Uninstalled
Microsoft.ZuneMusic_8wekyb3d8bbwe:Uninstalled
