Host Pool, RDP Property, Value 1, Value 2, Status
HB-Multisession-IT,enablecredsspsupport,i,1
HB-Multisession-IT,use multimon,i,1
HB-Multisession-IT,audiocapturemode,i,1
HB-Multisession-IT,redirected video capture encoding quality,i,1
HB-Multisession-IT,camerastoredirect,s,*
HB-Multisession-IT,maximizetocurrentdisplays,i,1
HB-Multisession-IT,singlemoninwindowedmode,i,1
HB-Multisession-IT,screen mode id,i,2
HB-Multisession-IT,smart sizing,i,1
HB-Multisession-Standard,audiomode,i,0
HB-Multisession-Standard,videoplaybackmode,i,1
HB-Multisession-Standard,redirectclipboard,i,1
HB-Multisession-Standard,redirectprinters,i,1
HB-Multisession-Standard,devicestoredirect,s,*
HB-Multisession-Standard,redirectcomports,i,1
HB-Multisession-Standard,redirectsmartcards,i,1
HB-Multisession-Standard,usbdevicestoredirect,s,*
HB-Multisession-Standard,enablecredsspsupport,i,1
HB-Multisession-Standard,use multimon,i,1
HB-Multisession-Standard,audiocapturemode,i,1
HB-Multisession-Standard,redirected video capture encoding quality,i,1
HB-Multisession-Standard,camerastoredirect,s,*
HB-Multisession-Standard,maximizetocurrentdisplays,i,1
HB-Multisession-Standard,singlemoninwindowedmode,i,1
HB-Multisession-Standard,screen mode id,i,2
HB-Multisession-Standard,smart sizing,i,1
HB-Multisession-Trusteer,audiomode,i,0
HB-Multisession-Trusteer,videoplaybackmode,i,1
HB-Multisession-Trusteer,redirectclipboard,i,1
HB-Multisession-Trusteer,redirectprinters,i,1
HB-Multisession-Trusteer,devicestoredirect,s,*
HB-Multisession-Trusteer,redirectcomports,i,1
HB-Multisession-Trusteer,redirectsmartcards,i,1
HB-Multisession-Trusteer,usbdevicestoredirect,s,*
HB-Multisession-Trusteer,enablecredsspsupport,i,1
HB-Multisession-Trusteer,use multimon,i,1
HB-Multisession-Trusteer,audiocapturemode,i,1
HB-Multisession-Trusteer,redirected video capture encoding quality,i,1
HB-Multisession-Trusteer,camerastoredirect,s,*
HB-Multisession-Trusteer,maximizetocurrentdisplays,i,1
HB-Multisession-Trusteer,singlemoninwindowedmode,i,1
HB-Multisession-Trusteer,screen mode id,i,2
HB-Multisession-Trusteer,smart sizing,i,1
HB-RA-Litigation,screen mode id,i,1
HB-RA-Litigation,camerastoredirect,s,*
HB-RA-Litigation,redirected video capture encoding quality,i,1
HB-RA-Litigation,audiocapturemode,i,1
HB-RA-Litigation,use multimon,i,0
HB-RA-Litigation,dynamic resolution,i,1
HB-RA-Litigation,drivestoredirect,s,*
HB-RA-Litigation,audiomode,i,0
HB-RA-Litigation,videoplaybackmode,i,1
HB-RA-Litigation,redirectclipboard,i,1
HB-RA-Litigation,redirectprinters,i,1
HB-RA-Litigation,devicestoredirect,s,*
HB-RA-Litigation,redirectcomports,i,1
HB-RA-Litigation,redirectsmartcards,i,1
HB-RA-Litigation,usbdevicestoredirect,s,*
HB-RA-Litigation,enablecredsspsupport,i,1
HB-RA-Litigation,encode redirected video capture,i,1
HB-RA-Litigation,desktop size id,i,3
HB-RA-Tax1,audiomode,i,0
HB-RA-Tax1,videoplaybackmode,i,1
HB-RA-Tax1,redirectclipboard,i,1
HB-RA-Tax1,redirectprinters,i,1
HB-RA-Tax1,devicestoredirect,s,*
HB-RA-Tax1,redirectcomports,i,1
HB-RA-Tax1,redirectsmartcards,i,1
