Microsoft.3DBuilder:Uninstalled
Microsoft.Microsoft3DViewer:Uninstalled
Microsoft.AppConnector:Uninstalled
Microsoft.BingFinance:Uninstalled
Microsoft.BingNews:NotUnInstalled
Microsoft.BingSports:Uninstalled
Microsoft.BingTranslator:Uninstalled
Microsoft.BingWeather:NotUnInstalled
Microsoft.BingFoodAndDrink:Uninstalled
Microsoft.BingHealthAndFitness:Uninstalled
Microsoft.BingTravel:Uninstalled
Microsoft.MinecraftUWP:Uninstalled
Microsoft.GamingServices:Uninstalled
Microsoft.GetHelp:NotUnInstalled
Microsoft.Getstarted:NotUnInstalled
Microsoft.Messaging:Uninstalled
Microsoft.MicrosoftSolitaireCollection:NotUnInstalled
Microsoft.NetworkSpeedTest:Uninstalled
Microsoft.News:Uninstalled
Microsoft.Office.Lens:Uninstalled
Microsoft.Office.Sway:Uninstalled
Microsoft.Office.OneNote:Uninstalled
Microsoft.OneConnect:Uninstalled
Microsoft.People:NotUnInstalled
Microsoft.Print3D:Uninstalled
Microsoft.SkypeApp:Uninstalled
Microsoft.Wallet:Uninstalled
Microsoft.Whiteboard:Uninstalled
Microsoft.WindowsAlarms:NotUnInstalled
Microsoft.windowscommunicationsapps:NotUnInstalled
Microsoft.WindowsFeedbackHub:NotUnInstalled
Microsoft.WindowsMaps:NotUnInstalled
Microsoft.WindowsPhone:Uninstalled
Microsoft.WindowsSoundRecorder:NotUnInstalled
Microsoft.ConnectivityStore:Uninstalled
Microsoft.CommsPhone:Uninstalled
Microsoft.ScreenSketch:NotUnInstalled
Microsoft.XboxGameOverlay:NotUnInstalled
Microsoft.XboxGameCallableUI:NotUnInstalled
Microsoft.MixedReality.Portal:Uninstalled
Microsoft.ZuneMusic:NotUnInstalled
Microsoft.ZuneVideo:NotUnInstalled
Microsoft.YourPhone:NotUnInstalled
Microsoft.MicrosoftOfficeHub:NotUnInstalled
Microsoft.Advertising.Xaml:Uninstalled
Microsoft.XboxApp:Uninstalled
Microsoft.XboxIdentityProvider:NotUnInstalled
Microsoft.XboxSpeechToTextOverlay:NotUnInstalled
Microsoft.Xbox.TCUI:NotUnInstalled
Microsoft.windowscommunicationsapps_8wekyb3d8bbwe:Uninstalled
Microsoft.BingWeather_8wekyb3d8bbwe:Uninstalled
Microsoft.DesktopAppInstaller_8wekyb3d8bbwe:Uninstalled
Microsoft.Getstarted_8wekyb3d8bbwe:Uninstalled
Microsoft.Windows.Photos_8wekyb3d8bbwe:Uninstalled
Microsoft.WindowsCamera_8wekyb3d8bbwe:Uninstalled
Microsoft.WindowsFeedbackHub_8wekyb3d8bbwe:Uninstalled
Microsoft.WindowsStore_8wekyb3d8bbwe:Uninstalled
Microsoft.XboxApp_8wekyb3d8bbwe:Uninstalled
Microsoft.XboxIdentityProvider_8wekyb3d8bbwe:Uninstalled
Microsoft.ZuneMusic_8wekyb3d8bbwe:Uninstalled
